id,neighbourhood_cleansed,city,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost,has_wifi,has_kitchen,has_parking,has_tv,has_wash,has_washer,has_garden,has_balcony,LSOA11CD,Index of Multiple Deprivation (IMD) Score,median_house_price_2020,minutes_to_town,minutes_to_rail,minutes_to_airport,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
34057880,Clifton Down,Bristol,51.4666,-2.60818,Entire house,16,3.0,7.0,1037.0,1,1125,79,21,1,1,1,1,1,1,1,1,1,E01014560,9.512,348000.0,17,30,58,1,0,0,0
38250938,Ancoats and Clayton,Manchester,53.48543000000001,-2.23743,Entire condominium,16,2.0,3.0,126.0,3,1125,93,1,0,1,1,0,1,1,1,0,0,E01033664,26.430999999999997,195500.0,14,10,46,1,0,0,0
5449233,Chorlton,Manchester,53.44341300161806,-2.276128797288755,House,16,2.0,6.0,800.0,1,1125,365,1,0,0,1,0,1,1,1,0,0,E01005150,26.296999999999997,232500.0,4,37,52,1,0,0,0
27123784,Central,Bristol,51.453540000000004,-2.5928299999999997,Entire apartment,16,2.0,7.0,557.0,1,1125,276,36,0,1,1,1,0,1,1,0,0,E01014540,22.838,390000.0,7,16,33,1,0,0,0
9180416,Salford District,Manchester,53.486880000000006,-2.26686,Entire villa,16,6.0,6.0,426.0,1,1125,352,70,0,1,1,1,1,1,1,1,1,E01032907,37.671,230500.0,19,25,46,1,0,0,0
11204792,Salford District,Manchester,53.48809,-2.26634,Entire villa,16,6.0,8.0,237.0,1,1125,360,65,0,1,1,1,1,1,1,1,0,E01032684,23.954,155000.0,21,23,58,1,0,0,0
11177762,Salford District,Manchester,53.48809,-2.2678700000000003,Entire villa,16,3.0,4.0,237.0,1,1125,360,34,0,1,1,1,1,1,1,1,0,E01032907,37.671,230500.0,19,25,46,1,0,0,0
26887845,Old Moat,Manchester,53.438669999999995,-2.2251,Entire house,16,3.0,10.0,267.0,2,1000,344,21,1,1,1,1,1,1,1,0,0,E01005271,26.883000000000003,242000.0,10,34,42,1,0,0,0
12987193,Henbury & Brentry,Bristol,51.505309999999994,-2.61259,Entire house,16,4.0,5.0,564.0,1,14,151,86,1,1,1,1,1,1,1,0,0,E01014601,30.365,246250.0,21,50,88,1,0,0,0
40166316,City Centre,Manchester,53.47846,-2.23445,Private room in bed and breakfast,16,1.0,1.0,42.0,1,365,334,0,0,1,0,0,1,1,1,0,0,E01033654,25.732,160000.0,14,2,29,0,0,1,0
